method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B5_NO_TRUST,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,18.230969412574797,35.68973647315353,138.24000000000004,0.0,0.0,0.9819999999999999,1.0,0.8958333333333334,0.9450422053265999,1.904245106034739,4.258021502914971,35.68973647315352,0.0
B5_NO_WORLD_MODEL,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,76.92,0.0,1.0,0.9843333333333332,1.0,0.9020833333333333,0.9485137813006664,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B5_PROPOSED,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,40.982115296581675,12.938590589146656,112.40000000000005,0.0,0.0,0.983,1.0,0.8979166666666668,0.9462078904701855,1.904245106034739,4.258021502914971,12.938590589146639,0.0
B1_FULL_SHUTDOWN,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,11.233480392860066,42.687225492868265,238.5,0.0,1.0,0.9983333333333334,1.0,0.9895833333333334,0.9947643979057592,1.904245106034739,4.258021502914971,42.68722549286825,0.0
B2_RULE_BASED_FALLBACK,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.9983333333333334,1.0,0.9895833333333334,0.9947643979057592,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,77.0,0.0,1.0,0.9983333333333334,1.0,0.9895833333333334,0.9947643979057592,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,6.848678431428807,47.07202745429952,155.40000000000003,0.0,0.0,0.8416666666666666,1.0,0.01875,0.059693980685057525,1.904245106034739,4.258021502914971,47.07202745429951,0.0
B5_FULL,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,16.54255529486023,37.3781505908681,143.00000000000006,0.0,0.0,0.881,1.0,0.26041666666666663,0.592121381711905,1.904245106034739,4.258021502914971,37.37815059086809,0.0
B5_NO_ROOT_CAUSE,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.9983333333333334,1.0,0.9895833333333334,0.9947643979057592,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B5_NO_SHIELD,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,16.54255529486023,37.3781505908681,143.00000000000006,0.0,0.0,0.881,1.0,0.26041666666666663,0.592121381711905,1.904245106034739,4.258021502914971,37.37815059086809,0.0
B5_NO_TRUST,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,6.848678431428807,47.07202745429952,155.40000000000003,0.0,0.0,0.8416666666666666,1.0,0.01875,0.059693980685057525,1.904245106034739,4.258021502914971,47.07202745429951,0.0
B5_NO_WORLD_MODEL,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,77.0,0.0,1.0,0.9983333333333334,1.0,0.9895833333333334,0.9947643979057592,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B5_PROPOSED,LIT101_REPLAY_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,16.54255529486023,37.3781505908681,143.00000000000006,0.0,0.0,0.881,1.0,0.26041666666666663,0.592121381711905,1.904245106034739,4.258021502914971,37.37815059086809,0.0
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,717.3317202875595,0.0,0.0,38.297665884580695,15.623040001147633,211.4,0.0,55.2,0.9966666666666667,1.0,0.9791666666666666,0.9894736842105264,1.904245106034739,4.258021502914971,15.62304000114762,0.0
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.9883333333333333,0.9499990955735962,0.9791666666666666,0.9642344330650134,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
