method,attack,seed,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,evaluation_type,flow_deviation_cost,downstream_overload_risk
B5_FULL,MV101_STUCK_OPEN_P102_UNAVAILABLE,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.825,0.9306930693069307,0.4895833333333333,0.6416382252559727,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,MV101_STUCK_OPEN_P102_UNAVAILABLE,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.8333333333333334,0.9791666666666666,0.4895833333333333,0.6527777777777778,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,MV101_STUCK_OPEN_P102_UNAVAILABLE,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,49.03656470858266,4.884141177145672,221.0,0,0,0.8116666666666668,0.8703703703703703,0.4895833333333333,0.6266666666666666,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,4.884141177145658,0
B5_FULL,P101_FORCED_OFF_HIGH_LEVEL,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,6.349339215714403,47.57136667001393,155.20000000000005,0,0,0.9183333333333333,0.9433962264150944,0.5208333333333334,0.6711409395973155,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,47.571366670013916,0
B5_FULL,P101_FORCED_OFF_HIGH_LEVEL,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,6.748678431428806,47.172027454299524,154.70000000000005,0,0,0.9066666666666666,0.9183673469387755,0.46875,0.6206896551724138,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,47.17202745429951,0
B5_FULL,P101_FORCED_OFF_HIGH_LEVEL,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,6.349339215714403,47.57136667001393,155.20000000000005,0,0,0.9199999999999999,0.9,0.5625,0.6923076923076923,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,47.571366670013916,0
B5_FULL,P101_FORCED_OFF_HIGH_LEVEL,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,6.349339215714403,47.57136667001393,155.20000000000005,0,0,0.8483333333333334,0.8571428571428571,0.0625,0.11650485436893204,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,47.571366670013916,0
B5_FULL,P101_FORCED_OFF_HIGH_LEVEL,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,6.748678431428806,47.172027454299524,154.70000000000005,0,0,0.9233333333333332,0.9047619047619048,0.59375,0.7169811320754718,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,47.17202745429951,0
B5_FULL,P102_FORCED_OFF_HIGH_LEVEL,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,1.649339215714403,52.271366670013926,155.70000000000005,0,0,0.9949999999999999,1.0,0.96875,0.9841269841269841,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,52.27136667001391,0
B5_FULL,P102_FORCED_OFF_HIGH_LEVEL,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,2.0486784314288053,51.87202745429953,155.20000000000005,0,0,0.9933333333333334,1.0,0.96875,0.9841269841269841,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,51.87202745429951,0
B5_FULL,P102_FORCED_OFF_HIGH_LEVEL,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,1.649339215714403,52.271366670013926,155.70000000000005,0,0,0.9949999999999999,1.0,0.96875,0.9841269841269841,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,52.27136667001391,0
B5_FULL,P102_FORCED_OFF_HIGH_LEVEL,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,1.649339215714403,52.271366670013926,155.70000000000005,0,0,0.9949999999999999,1.0,0.96875,0.9841269841269841,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,52.27136667001391,0
B5_FULL,P102_FORCED_OFF_HIGH_LEVEL,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,2.0486784314288053,51.87202745429953,155.20000000000005,0,0,0.9933333333333334,1.0,0.96875,0.9841269841269841,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,51.87202745429951,0
B5_NO_ROOT_CAUSE,COMBINED_LIT101_REPLAY_MV101_OPEN,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,COMBINED_LIT101_REPLAY_MV101_OPEN,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,COMBINED_LIT101_REPLAY_MV101_OPEN,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,COMBINED_LIT101_REPLAY_MV101_OPEN,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,COMBINED_LIT101_REPLAY_MV101_OPEN,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,DELAYED_DETECTION_5_STEPS,0,96,96,96,96,0,96,96,495.80073987845685,0.0,0,27.409692158578558,26.511013727149773,90.0,0,0,0.9383333333333332,0.6326530612244898,0.8072916666666666,0.7093821510297483,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,26.51101372714976,0
B5_NO_ROOT_CAUSE,DELAYED_DETECTION_5_STEPS,1,96,96,96,96,0,96,96,495.68227196030625,0.0,0,26.511013727149752,27.40969215857858,90.0,0,0,0.9349999999999999,0.6194331983805668,0.796875,0.6970387243735763,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,27.409692158578565,0
B5_NO_ROOT_CAUSE,DELAYED_DETECTION_5_STEPS,2,96,96,96,96,0,96,96,495.89275616630937,0.0,0,26.960352942864155,26.960352942864176,90.0,0,0,0.9366666666666668,0.6337448559670782,0.8020833333333334,0.7080459770114942,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,26.960352942864162,0
B5_NO_ROOT_CAUSE,DELAYED_DETECTION_5_STEPS,3,96,96,96,96,0,96,96,495.77464924770356,0.0,0,26.960352942864155,26.960352942864176,90.0,0,0,0.9366666666666668,0.6285714285714286,0.8020833333333334,0.7048054919908466,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,26.960352942864162,0
B5_NO_ROOT_CAUSE,DELAYED_DETECTION_5_STEPS,4,96,96,96,96,0,96,96,495.7898113549604,0.0,0,26.960352942864155,26.960352942864176,90.0,0,0,0.9366666666666668,0.6337448559670782,0.8020833333333334,0.7080459770114942,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,26.960352942864162,0
B5_NO_ROOT_CAUSE,LIT101_DRIFT_HIGH_LEVEL,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9833333333333332,1.0,0.8958333333333334,0.945054945054945,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,LIT101_DRIFT_HIGH_LEVEL,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,53.92070588572833,0.0,96.0,0,1,0.985,1.0,0.90625,0.9508196721311475,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,LIT101_DRIFT_HIGH_LEVEL,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9833333333333332,1.0,0.8958333333333334,0.945054945054945,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
