method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B5_NO_SHIELD,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,495.71354863695194,0.0,0.0,27.05022078600704,26.870485099721282,102.80000000000003,0.0,0.0,0.9833333333333332,0.7003252462455878,0.8958333333333334,0.7860985372132789,1.904245106034739,4.258021502914971,26.870485099721282,0.0
B5_NO_TRUST,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,51.544274120870554,2.3764317648577573,6.32,0.0,0.0,0.9843333333333332,1.0,0.9020833333333333,0.9485137813006664,1.904245106034739,4.258021502914971,2.3764317648577573,0.0
B5_NO_WORLD_MODEL,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,487.8789563758308,0.0,0.0,16.985022354004418,36.935683531723896,75.92,0.0,0.0,0.982,0.8609974943252713,0.8875,0.8684094115604054,1.904245106034739,4.258021502914971,36.935683531723896,0.0
B5_PROPOSED,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,495.71354863695194,0.0,0.0,27.05022078600704,26.870485099721282,102.80000000000003,0.0,0.0,0.9833333333333332,0.7003252462455878,0.8958333333333334,0.7860985372132789,1.904245106034739,4.258021502914971,26.870485099721282,0.0
B1_FULL_SHUTDOWN,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,482.3333764903056,0.0,0.0,0.0,53.92070588572832,237.5,0.0,0.0,0.9983333333333334,0.9793814432989689,0.9895833333333334,0.9844559585492227,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B2_RULE_BASED_FALLBACK,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.7936780216013,0.0,0.0,40.35066157115337,13.570044314574954,95.0,0.0,0.0,0.9983333333333334,0.9295998703239828,0.9895833333333334,0.9586413325923058,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.7936780216013,0.0,0.0,40.35066157115337,13.570044314574954,76.0,0.0,0.0,0.9983333333333334,0.9295998703239828,0.9895833333333334,0.9586413325923058,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B4_WORLD_MODEL_NO_TRUST,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,13.607048628002298,40.31365725772602,129.82000000000002,0.0,0.0,0.8673333333333334,1.0,0.17083333333333334,0.29102674519348126,1.904245106034739,4.258021502914971,40.31365725772602,0.0
B5_FULL,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.7936780216013,0.0,0.0,40.35066157115337,13.570044314574954,101.00000000000003,0.0,0.0,0.9983333333333334,0.9295998703239828,0.9895833333333334,0.9586413325923058,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B5_NO_ROOT_CAUSE,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.7936780216013,0.0,0.0,40.35066157115337,13.570044314574954,95.0,0.0,0.0,0.9983333333333334,0.9295998703239828,0.9895833333333334,0.9586413325923058,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B5_NO_SHIELD,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.7936780216013,0.0,0.0,40.35066157115337,13.570044314574954,101.00000000000003,0.0,0.0,0.9983333333333334,0.9295998703239828,0.9895833333333334,0.9586413325923058,1.904245106034739,4.258021502914971,13.570044314574954,0.0
