attack,method,unique_shielded_actions,mean_inflow,mean_outflow,mean_level_delta,trajectory_signature,safety_violation_duration,production_loss,production
LIT101_REPLAY,B2_RULE_BASED_FALLBACK,2,0.3051563285870267,0.113083702621458,0.19096311502989466,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.35066157115335,13.570044314574961
LIT101_REPLAY,B3_ANOMALY_PRIORITY_RECOVERY,2,0.3051563285870267,0.113083702621458,0.19096311502989466,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.35066157115335,13.570044314574961
LIT101_REPLAY,B4_WORLD_MODEL_NO_TRUST,4,0.02580684684630774,0.30440933008340837,-0.27971199417274106,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,17.3915862757193,36.52911961000901
LIT101_REPLAY,B5_FULL,2,0.3051563285870267,0.113083702621458,0.19096311502989466,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.35066157115335,13.570044314574961
LIT101_REPLAY,B5_NO_ROOT_CAUSE,2,0.3051563285870267,0.113083702621458,0.19096311502989466,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.35066157115335,13.570044314574961
LIT101_REPLAY,B5_NO_SHIELD,2,0.3051563285870267,0.113083702621458,0.19096311502989466,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.35066157115335,13.570044314574961
LIT101_REPLAY,B5_NO_TRUST,4,0.02580684684630774,0.30440933008340837,-0.27971199417274106,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,17.3915862757193,36.52911961000901
LIT101_REPLAY,B5_NO_WORLD_MODEL,2,0.3051563285870267,0.113083702621458,0.19096311502989466,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.35066157115335,13.570044314574961
LIT101_REPLAY,B5_PROPOSED,2,0.3051563285870267,0.113083702621458,0.19096311502989466,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.35066157115335,13.570044314574961
MV101_STUCK_OPEN,B1_FULL_SHUTDOWN,2,0.40511313366486684,0.0,0.4040036227291724,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
MV101_STUCK_OPEN,B2_RULE_BASED_FALLBACK,2,0.40511313366486684,0.11383260131431537,0.2901710214148534,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.260793728010476,13.659912157717844
MV101_STUCK_OPEN,B3_ANOMALY_PRIORITY_RECOVERY,3,0.40511313366486684,0.11383260131431537,0.2901710214148534,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.260793728010476,13.659912157717844
MV101_STUCK_OPEN,B4_WORLD_MODEL_NO_TRUST,4,0.34024050520375204,0.42953561767392123,-0.0904046234058624,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,2.3764317648577573,51.544274120870554
MV101_STUCK_OPEN,B5_FULL,2,0.40511313366486684,0.12608260131431537,0.2779210214148645,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,38.79079372801048,15.12991215771784
MV101_STUCK_OPEN,B5_NO_ROOT_CAUSE,2,0.40511313366486684,0.11383260131431537,0.2901710214148534,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.260793728010476,13.659912157717844
