method,attack,seed,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,evaluation_type,flow_deviation_cost,downstream_overload_risk
B5_FULL,MV101_STUCK_OPEN,0,96,96,96,96,0,96,96,507.77544856699615,0.0,0,15.429515687146482,38.49119019858183,150.0,0,0,0.8816666666666666,0.297029702970297,0.3125,0.3045685279187817,1.904245106034739,4.258021502914971,real_calibrated_simulation,38.49119019858183,0
B5_FULL,MV101_STUCK_OPEN,1,96,96,96,96,0,96,96,507.4419184400617,0.0,0,14.430837255717677,39.48986863001064,148.0,0,0,0.8866666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,1.904245106034739,4.258021502914971,real_calibrated_simulation,39.48986863001064,0
B5_FULL,MV101_STUCK_OPEN,2,96,96,96,96,0,96,96,507.88863467448175,0.0,0,14.93017647143208,38.99052941429623,149.0,0,0,0.8883333333333333,0.3020833333333333,0.3020833333333333,0.3020833333333333,1.904245106034739,4.258021502914971,real_calibrated_simulation,38.99052941429623,0
B5_FULL,MV101_STUCK_OPEN,3,96,96,96,96,0,96,96,507.690873351666,0.0,0,15.429515687146482,38.49119019858183,150.0,0,0,0.8883333333333333,0.30927835051546393,0.3125,0.31088082901554404,1.904245106034739,4.258021502914971,real_calibrated_simulation,38.49119019858183,0
B5_FULL,MV101_STUCK_OPEN,4,96,96,96,96,0,96,96,507.812210373108,0.0,0,15.429515687146482,38.49119019858183,150.0,0,0,0.8866666666666667,0.30612244897959184,0.3125,0.30927835051546393,1.904245106034739,4.258021502914971,real_calibrated_simulation,38.49119019858183,0
B5_FULL,P101_FORCED_OFF,0,96,96,96,96,0,96,96,507.77544856699615,0.0,0,1.5,52.42070588572832,129.00000000000003,0,0,0.8883333333333333,0.30927835051546393,0.3125,0.31088082901554404,1.904245106034739,4.258021502914971,real_calibrated_simulation,52.42070588572832,0
B5_FULL,P101_FORCED_OFF,1,96,96,96,96,0,96,96,507.4419184400617,0.0,0,1.4000000000000001,52.52070588572832,128.40000000000003,0,0,0.8866666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,1.904245106034739,4.258021502914971,real_calibrated_simulation,52.52070588572832,0
B5_FULL,P101_FORCED_OFF,2,96,96,96,96,0,96,96,507.8989828773464,0.0,0,1.4500000000000002,52.470705885728314,128.70000000000002,0,0,0.8883333333333333,0.3020833333333333,0.3020833333333333,0.3020833333333333,1.904245106034739,4.258021502914971,real_calibrated_simulation,52.470705885728314,0
B5_FULL,P101_FORCED_OFF,3,96,96,96,96,0,96,96,507.72808553703635,0.0,0,1.5,52.42070588572832,129.00000000000003,0,0,0.8883333333333333,0.30927835051546393,0.3125,0.31088082901554404,1.904245106034739,4.258021502914971,real_calibrated_simulation,52.42070588572832,0
B5_FULL,P101_FORCED_OFF,4,96,96,96,96,0,96,96,507.812210373108,0.0,0,1.5,52.42070588572832,129.00000000000003,0,0,0.89,0.3125,0.3125,0.3125,1.904245106034739,4.258021502914971,real_calibrated_simulation,52.42070588572832,0
